z,dz,sigdm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
5.5000, 1.0000, 0.0366, 0.3271, 0.3271, 0.3271, 0.3271, 0.3772, 0.6229, 0.6527, 1.0371, 1.4693
6.0000, 1.0000, 0.0356, 0.3770, 0.3770, 0.3770, 0.3770, 0.4356, 0.7540, 0.7845, 1.2634, 1.7549
6.5000, 1.0000, 0.0346, 0.4317, 0.4317, 0.4317, 0.4317, 0.4994, 0.9033, 0.9334, 1.5211, 2.0733
7.0000, 1.0000, 0.0337, 0.4911, 0.4911, 0.4911, 0.4911, 0.5687, 1.0718, 1.1002, 1.8121, 2.4257
7.5000, 1.0000, 0.0329, 0.5553, 0.5553, 0.5553, 0.5553, 0.6436, 1.2602, 1.2858, 2.1379, 2.8130
8.0000, 1.0000, 0.0322, 0.6243, 0.6243, 0.6243, 0.6243, 0.7239, 1.4696, 1.4907, 2.5003, 3.2360
8.5000, 1.0000, 0.0315, 0.6982, 0.6982, 0.6982, 0.6982, 0.8098, 1.7008, 1.7158, 2.9007, 3.6958
9.0000, 1.0000, 0.0309, 0.7768, 0.7768, 0.7768, 0.7768, 0.9012, 1.9546, 1.9615, 3.3407, 4.1931
9.5000, 1.0000, 0.0303, 0.8603, 0.8603, 0.8603, 0.8603, 0.9983, 2.2318, 2.2287, 3.8217, 4.7286
10.0000, 1.0000, 0.0297, 0.9487, 0.9487, 0.9487, 0.9487, 1.1009, 2.5333, 2.5178, 4.3453, 5.3031
10.5000, 1.0000, 0.0292, 1.0419, 1.0419, 1.0419, 1.0419, 1.2090, 2.8598, 2.8295, 4.9127, 5.9172
11.0000, 1.0000, 0.0287, 1.1399, 1.1399, 1.1399, 1.1399, 1.3227, 3.2120, 3.1642, 5.5253, 6.5715
11.5000, 1.0000, 0.0282, 1.2428, 1.2428, 1.2428, 1.2428, 1.4420, 3.5906, 3.5225, 6.1844, 7.2666
12.0000, 1.0000, 0.0278, 1.3505, 1.3505, 1.3505, 1.3505, 1.5668, 3.9963, 3.9050, 6.8911, 8.0030
12.5000, 1.0000, 0.0273, 1.4630, 1.4630, 1.4630, 1.4630, 1.6971, 4.4298, 4.3120, 7.6468, 8.7811
13.0000, 1.0000, 0.0269, 1.5803, 1.5803, 1.5803, 1.5803, 1.8329, 4.8916, 4.7440, 8.4525, 9.6015
13.5000, 1.0000, 0.0265, 1.7024, 1.7024, 1.7024, 1.7024, 1.9742, 5.3824, 5.2015, 9.3093,10.4645
14.0000, 1.0000, 0.0261, 1.8292, 1.8292, 1.8292, 1.8292, 2.1210, 5.9028, 5.6848,10.2183,11.3704
14.5000, 1.0000, 0.0258, 1.9608, 1.9608, 1.9608, 1.9608, 2.2731, 6.4533, 6.1944,11.1806,12.3196
15.0000, 1.0000, 0.0254, 2.0970, 2.0970, 2.0970, 2.0970, 2.4306, 7.0344, 6.7305,12.1970,13.3125
15.5000, 1.0000, 0.0251, 2.2379, 2.2379, 2.2379, 2.2379, 2.5935, 7.6466, 7.2936,13.2686,14.3492
16.0000, 1.0000, 0.0247, 2.3835, 2.3835, 2.3835, 2.3835, 2.7617, 8.2905, 7.8840,14.3963,15.4300
16.5000, 1.0000, 0.0244, 2.5337, 2.5337, 2.5337, 2.5337, 2.9351, 8.9665, 8.5020,15.5808,16.5552
17.0000, 1.0000, 0.0241, 2.6885, 2.6885, 2.6885, 2.6885, 3.1138, 9.6751, 9.1478,16.8232,17.7249
17.5000, 1.0000, 0.0238, 2.8478, 2.8478, 2.8478, 2.8478, 3.2977,10.4167, 9.8218,18.1241,18.9393
18.0000, 1.0000, 0.0235, 3.0116, 3.0116, 3.0116, 3.0116, 3.4867,11.1917,10.5242,19.4845,20.1986
18.5000, 1.0000, 0.0232, 3.1799, 3.1799, 3.1799, 3.1799, 3.6809,12.0005,11.2553,20.9049,21.5029
19.0000, 1.0000, 0.0229, 3.3527, 3.3527, 3.3527, 3.3527, 3.8801,12.8436,12.0153,22.3862,22.8523
19.5000, 1.0000, 0.0226, 3.5299, 3.5299, 3.5299, 3.5299, 4.0844,13.7212,12.8045,23.9290,24.2470
