z,dz,sigdm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
5.5000, 1.0000, 0.0477, 0.4260, 0.4260, 0.4260, 0.4260, 0.4913, 0.8113, 0.8502, 1.3509, 1.9137
6.0000, 1.0000, 0.0465, 0.4929, 0.4929, 0.4929, 0.4929, 0.5694, 0.9857, 1.0254, 1.6515, 2.2940
6.5000, 1.0000, 0.0454, 0.5662, 0.5662, 0.5662, 0.5662, 0.6550, 1.1848, 1.2241, 1.9950, 2.7193
7.0000, 1.0000, 0.0444, 0.6461, 0.6461, 0.6461, 0.6461, 0.7482, 1.4099, 1.4473, 2.3838, 3.1910
7.5000, 1.0000, 0.0435, 0.7326, 0.7326, 0.7326, 0.7326, 0.8490, 1.6625, 1.6962, 2.8204, 3.7109
8.0000, 1.0000, 0.0426, 0.8258, 0.8258, 0.8258, 0.8258, 0.9575, 1.9439, 1.9718, 3.3072, 4.2804
8.5000, 1.0000, 0.0418, 0.9258, 0.9258, 0.9258, 0.9258, 1.0738, 2.2553, 2.2752, 3.8464, 4.9008
9.0000, 1.0000, 0.0411, 1.0326, 1.0326, 1.0326, 1.0326, 1.1979, 2.5981, 2.6073, 4.4405, 5.5735
9.5000, 1.0000, 0.0404, 1.1462, 1.1462, 1.1462, 1.1462, 1.3299, 2.9734, 2.9692, 5.0916, 6.2997
10.0000, 1.0000, 0.0397, 1.2667, 1.2667, 1.2667, 1.2667, 1.4699, 3.3825, 3.3618, 5.8019, 7.0807
10.5000, 1.0000, 0.0391, 1.3941, 1.3941, 1.3941, 1.3941, 1.6177, 3.8266, 3.7860, 6.5735, 7.9175
11.0000, 1.0000, 0.0385, 1.5285, 1.5285, 1.5285, 1.5285, 1.7736, 4.3068, 4.2427, 7.4086, 8.8114
11.5000, 1.0000, 0.0379, 1.6698, 1.6698, 1.6698, 1.6698, 1.9374, 4.8243, 4.7328, 8.3091, 9.7632
12.0000, 1.0000, 0.0374, 1.8181, 1.8181, 1.8181, 1.8181, 2.1093, 5.3800, 5.2570, 9.2771,10.7739
12.5000, 1.0000, 0.0369, 1.9734, 1.9734, 1.9734, 1.9734, 2.2892, 5.9752, 5.8163,10.3145,11.8445
13.0000, 1.0000, 0.0364, 2.1357, 2.1357, 2.1357, 2.1357, 2.4771, 6.6108, 6.4113,11.4231,12.9759
13.5000, 1.0000, 0.0359, 2.3050, 2.3050, 2.3050, 2.3050, 2.6731, 7.2878, 7.0428,12.6047,14.1688
14.0000, 1.0000, 0.0355, 2.4813, 2.4813, 2.4813, 2.4813, 2.8771, 8.0072, 7.7115,13.8612,15.4240
14.5000, 1.0000, 0.0350, 2.6647, 2.6647, 2.6647, 2.6647, 3.0891, 8.7700, 8.4181,15.1943,16.7423
15.0000, 1.0000, 0.0346, 2.8550, 2.8550, 2.8550, 2.8550, 3.3092, 9.5770, 9.1633,16.6057,18.1244
15.5000, 1.0000, 0.0342, 3.0523, 3.0523, 3.0523, 3.0523, 3.5372,10.4292, 9.9478,18.0970,19.5708
16.0000, 1.0000, 0.0338, 3.2566, 3.2566, 3.2566, 3.2566, 3.7733,11.3275,10.7720,19.6698,21.0823
16.5000, 1.0000, 0.0334, 3.4679, 3.4679, 3.4679, 3.4679, 4.0173,12.2726,11.6368,21.3257,22.6593
17.0000, 1.0000, 0.0330, 3.6862, 3.6862, 3.6862, 3.6862, 4.2693,13.2655,12.5425,23.0662,24.3025
17.5000, 1.0000, 0.0327, 3.9113, 3.9113, 3.9113, 3.9113, 4.5292,14.3069,13.4898,24.8928,26.0124
18.0000, 1.0000, 0.0323, 4.1434, 4.1434, 4.1434, 4.1434, 4.7971,15.3976,14.4793,26.8069,27.7894
18.5000, 1.0000, 0.0320, 4.3824, 4.3824, 4.3824, 4.3824, 5.0728,16.5384,15.5114,28.8099,29.6340
19.0000, 1.0000, 0.0316, 4.6282, 4.6282, 4.6282, 4.6282, 5.3563,17.7299,16.5866,30.9031,31.5466
19.5000, 1.0000, 0.0313, 4.8809, 4.8809, 4.8809, 4.8809, 5.6477,18.9730,17.7054,33.0880,33.5276
